City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Hanover,52.3705,9.7332,39.0,86,0,4.61,DE,2021-04-24 00:31:16
60,Velasco Ibarra,-1.05,-79.6167,76.14,84,97,2.06,EC,2021-04-24 00:31:16
61,Biloela,-24.4167,150.5,77.97,27,8,4.65,AU,2021-04-24 00:31:16
62,Vaini,-21.2,-175.2,86.0,74,20,6.91,TO,2021-04-24 00:28:17
63,Saskylakh,71.9167,114.0833,33.96,96,100,21.05,RU,2021-04-24 00:31:17
64,Port Blair,11.6667,92.75,83.01,63,100,4.25,IN,2021-04-24 00:31:17
65,Isangel,-19.55,169.2667,86.0,74,75,11.03,VU,2021-04-24 00:31:18
66,Hami,42.8,93.45,46.47,24,100,12.08,CN,2021-04-24 00:31:18
67,Jamestown,42.097,-79.2353,50.0,43,1,13.8,US,2021-04-24 00:29:10
68,Halifax,44.6453,-63.5724,46.4,49,83,4.61,CA,2021-04-24 00:27:56
69,Lobito,-12.3481,13.5456,80.04,87,92,4.23,AO,2021-04-24 00:31:19
70,Vila Do Maio,15.1333,-23.2167,69.8,73,20,13.8,CV,2021-04-24 00:31:19
71,Qaanaaq,77.484,-69.3632,18.12,84,100,5.73,GL,2021-04-24 00:28:21
72,Saldanha,-33.0117,17.9442,53.6,82,92,3.44,ZA,2021-04-24 00:31:20
73,Lagoa,39.05,-27.9833,57.51,76,51,32.77,PT,2021-04-24 00:31:20
74,Sinop,41.7711,34.8709,50.81,48,100,1.28,TR,2021-04-24 00:31:21
75,Vardo,70.3705,31.1107,34.61,65,100,12.55,NO,2021-04-24 00:31:21
76,Abu Samrah,35.3029,37.1841,65.01,30,17,3.85,SY,2021-04-24 00:31:22
77,Cherskiy,68.75,161.3,25.43,90,100,5.28,RU,2021-04-24 00:30:08
78,Half Moon Bay,37.4636,-122.4286,61.0,87,75,5.75,US,2021-04-24 00:29:41
79,Shahreza,32.0339,51.8794,64.15,34,100,1.5,IR,2021-04-24 00:31:23
80,Kavieng,-2.5744,150.7967,81.66,75,97,3.76,PG,2021-04-24 00:28:40
81,Pisco,-13.7,-76.2167,66.99,82,0,10.36,PE,2021-04-24 00:31:22
82,Upernavik,72.7868,-56.1549,28.08,84,100,3.56,GL,2021-04-24 00:31:24
83,Coquimbo,-29.9533,-71.3436,57.2,82,0,4.61,CL,2021-04-24 00:31:24
84,Male,4.1748,73.5089,84.2,79,75,12.66,MV,2021-04-24 00:30:44
85,Coos Bay,43.3665,-124.2179,54.0,71,75,6.91,US,2021-04-24 00:29:42
86,Bilibino,68.0546,166.4372,24.58,79,78,3.09,RU,2021-04-24 00:31:25
87,Longyearbyen,78.2186,15.6401,15.8,67,75,8.05,SJ,2021-04-24 00:26:35
88,Bubaque,11.2833,-15.8333,77.68,71,28,16.75,GW,2021-04-24 00:31:26
89,Vysokogornyy,50.1167,139.15,35.38,82,97,5.48,RU,2021-04-24 00:31:26
90,Sesheke,-17.4759,24.2968,60.08,61,0,4.07,ZM,2021-04-24 00:31:27
91,Urumqi,43.801,87.6005,33.8,69,75,6.71,CN,2021-04-24 00:30:03
92,Asau,46.4333,26.4,36.0,67,67,2.46,RO,2021-04-24 00:31:27
