City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
110,Saint George,37.1041,-113.5841,77.0,13,1,27.63,US,clear sky
111,Bamiantong,44.9333,130.5333,48.9,26,6,16.75,CN,clear sky
112,Margate,51.3813,1.3862,45.0,81,0,5.99,GB,clear sky
113,Muroto,33.2833,134.15,75.2,38,40,12.66,JP,scattered clouds
114,Horsham,51.064,-0.3272,43.0,87,0,9.22,GB,clear sky
115,Tupik,54.4253,119.9327,52.32,30,81,8.81,RU,broken clouds
116,Tshikapa,-6.4167,20.8,68.61,93,100,0.63,CD,overcast clouds
117,Saint-Philippe,-21.3585,55.7679,77.0,78,91,24.16,RE,light rain
118,Dikson,73.5069,80.5464,9.93,93,65,8.25,RU,broken clouds
119,Pokhara,28.2333,83.9833,83.89,16,0,4.65,NP,clear sky
120,Nathdwara,24.9333,73.8167,73.4,40,40,4.61,IN,scattered clouds
121,Tommot,58.9564,126.2925,38.98,90,100,8.97,RU,overcast clouds
122,Vaini,-21.2,-175.2,84.2,74,40,9.22,TO,scattered clouds
123,Avarua,-21.2078,-159.775,82.4,69,95,10.36,CK,overcast clouds
124,Suluq,31.6682,20.2521,61.9,73,96,18.32,LY,overcast clouds
125,Hualmay,-11.0964,-77.6139,66.47,87,5,9.51,PE,clear sky
126,Sora,41.7157,13.6141,46.99,84,70,4.81,IT,broken clouds
127,Murray Bridge,-35.1167,139.2667,64.0,66,31,6.76,AU,scattered clouds
128,Trojanovice,49.5204,18.238,39.2,81,0,2.3,CZ,clear sky
129,San Patricio,28.017,-97.5169,78.01,64,1,9.22,US,clear sky
130,Porto Walter,-8.2686,-72.7439,72.82,92,55,2.28,BR,broken clouds
131,Ayan,56.45,138.1667,33.08,59,9,4.41,RU,clear sky
132,Khatanga,71.9667,102.5,20.62,88,100,22.3,RU,overcast clouds
133,Esperance,-33.8667,121.9,73.4,40,41,19.57,AU,scattered clouds
134,Kaitangata,-46.2817,169.8464,50.0,52,40,13.0,NZ,scattered clouds
135,Sakakah,29.9697,40.2064,75.2,15,0,6.91,SA,clear sky
136,Chokurdakh,70.6333,147.9167,14.59,81,2,8.37,RU,clear sky
137,Havoysund,70.9963,24.6622,28.4,64,97,8.05,NO,overcast clouds
138,Moose Factory,51.2585,-80.6094,23.0,74,90,9.22,CA,overcast clouds
139,Fortuna,40.5982,-124.1573,54.0,62,40,10.36,US,scattered clouds
140,Prudentopolis,-25.2131,-50.9778,58.03,90,100,0.69,BR,overcast clouds
141,San Quintin,30.4833,-115.95,58.24,84,3,14.72,MX,clear sky
142,Los Llanos De Aridane,28.6585,-17.9182,68.0,49,0,8.05,ES,clear sky
143,Kiunga,-6.1219,141.2906,76.55,85,100,1.03,PG,overcast clouds
144,Christchurch,-43.5333,172.6333,64.0,48,68,8.05,NZ,broken clouds
145,Piacabucu,-10.4056,-36.4344,77.29,83,25,5.19,BR,scattered clouds
146,Arlit,18.7369,7.3853,85.44,13,37,3.31,NE,scattered clouds
147,Pemangkat,1.1667,108.9667,86.05,65,46,4.88,ID,scattered clouds
148,Hilo,19.7297,-155.09,73.4,83,90,4.61,US,light rain
149,Turukhansk,65.8167,87.9833,31.84,96,100,10.0,RU,overcast clouds
150,Bend,44.0582,-121.3153,48.2,49,1,9.22,US,clear sky
151,Ancud,-41.8697,-73.8203,54.0,100,90,4.61,CL,overcast clouds
152,Rawson,-43.3002,-65.1023,55.9,62,0,10.74,AR,clear sky
153,Qostanay,53.1667,63.5833,46.4,49,0,4.47,KZ,clear sky
154,Samarai,-10.6167,150.6667,84.54,71,36,15.43,PG,scattered clouds
155,Yekaterinoslavka,50.3734,129.1139,44.91,18,0,13.24,RU,clear sky
156,Qasigiannguit,68.8193,-51.1922,46.4,46,0,27.63,GL,clear sky
157,Grindavik,63.8424,-22.4338,42.8,100,90,21.85,IS,moderate rain
158,Mahibadhoo,3.7833,72.9667,83.26,74,60,8.79,MV,broken clouds
159,Iralaya,15.0,-83.2333,78.08,76,6,9.4,HN,clear sky
160,Puerto Escondido,15.85,-97.0667,80.94,80,98,1.01,MX,overcast clouds
161,Sete,43.4018,3.6966,55.99,87,0,5.75,FR,clear sky
162,Caravelas,-17.7125,-39.2481,73.44,89,0,4.92,BR,clear sky
163,Barra Patuca,15.8,-84.2833,79.56,70,0,14.14,HN,clear sky
164,Falmouth,50.1544,-5.0711,48.2,71,41,23.11,GB,scattered clouds
165,Weihe,32.9952,105.3247,50.4,83,100,3.74,CN,overcast clouds
166,Chuy,-33.6971,-53.4616,63.03,92,95,10.94,UY,overcast clouds
167,Karratha,-20.7377,116.8463,87.87,23,0,19.84,AU,clear sky
168,Yarmouth,41.7057,-70.2286,55.0,50,1,13.8,US,clear sky
